graph_type,n,sigma,amplitude,tau_empirical_mean,tau_spectral_mean,tau_relative_error_mean,pfa_empirical_mean,pfa_spectral_emp_mean,pfa_spectral_spec_mean,pd_mc_emp_mean,pd_spectral_emp_mean,pd_mc_spec_mean,pd_spectral_spec_mean,degree_cv_mean
star,30,0.35,2.0,27.734550967697157,27.88084442825832,0.0057710576616451185,0.01,0.01027217518753355,0.01000000000012774,0.052879999999999996,0.05392861901339385,0.05284,0.0533877023723794,2.5997347344787256
star,30,0.35,3.0,27.543800909206265,27.88084442825832,0.012485841467188641,0.01,0.010552562301340296,0.01000000000012774,0.08571999999999999,0.0839770916678962,0.08322,0.08134500620186629,2.5997347344787256
star,60,0.15,1.0,10.147915688635857,10.27479454030676,0.012753800690548083,0.01,0.0105663618934009,0.010000000000009057,0.033839999999999995,0.03313383441711393,0.032499999999999994,0.03224997078798272,3.7754784184438934
star,60,0.15,1.5,10.383236308051455,10.27479454030676,-0.009404465745692463,0.01,0.009655372487012048,0.010000000000009057,0.044539999999999996,0.04324766327778564,0.04528,0.044196801247249125,3.7754784184438934
star,60,0.15,2.0,10.366716320648019,10.27479454030676,-0.008116077630621549,0.01,0.009695497204633863,0.010000000000009057,0.07511999999999999,0.07564939818145715,0.07698,0.0775228482289608,3.7754784184438934
star,60,0.15,3.0,10.291608620874229,10.27479454030676,-0.0010754502657632891,0.01,0.009982073340214725,0.010000000000009057,0.73124,0.7300233007056549,0.73702,0.7362366530355655,3.7754784184438934
star,60,0.25,1.0,28.87653833011786,28.541095600509987,-0.010818658430230815,0.01,0.009583563702038412,0.010000000000009779,0.02632,0.026375286205987114,0.026500000000000003,0.026905401790009092,3.7754784184438934
star,60,0.25,1.5,28.51139076601219,28.541095600509987,0.0017934354667694876,0.01,0.010115438658470088,0.010000000000009779,0.03074,0.03111045965476611,0.03086,0.030944973960302165,3.7754784184438934
star,60,0.25,2.0,28.331556363726587,28.541095600509987,0.007721408467595144,0.01,0.010349742338682943,0.010000000000009779,0.03802,0.03638745393736048,0.03752,0.03571873110275744,3.7754784184438934
star,60,0.25,3.0,28.015451130300914,28.541095600509987,0.01894069754525815,0.01,0.010836756761519928,0.010000000000009779,0.06336,0.06345429924039653,0.05944000000000001,0.05977247072870275,3.7754784184438934
star,60,0.35,1.0,55.16727860906811,55.94054807196401,0.01426099303874927,0.01,0.010632481494214118,0.010000000000009834,0.020560000000000002,0.021529660165587567,0.01974,0.02072091310737816,3.7754784184438934
star,60,0.35,1.5,56.48679354159831,55.94054807196401,-0.009230257971524325,0.01,0.009631795360272444,0.010000000000009834,0.02752,0.02731783689761034,0.02816,0.02778095765297204,3.7754784184438934
star,60,0.35,2.0,56.191927565724335,55.94054807196401,-0.00391417259095927,0.01,0.0098609838396015,0.010000000000009834,0.030699999999999998,0.030257128390801514,0.030920000000000003,0.030449236611851678,3.7754784184438934
star,60,0.35,3.0,57.42671809751033,55.94054807196401,-0.02556658882438741,0.01,0.008956331001277606,0.010000000000009834,0.03598,0.03546391287147733,0.03776,0.037659855818810296,3.7754784184438934
