graph_type,n,sigma,amplitude,repetition,edges,mean_degree,degree_std,degree_cv,trace_L,trace_L2,lambda2,lambda_max,tau_empirical,tau_spectral,tau_relative_error,pfa_empirical,pfa_spectral_at_emp_tau,pfa_spectral_at_spec_tau,pd_mc_emp_tau,pd_spectral_emp_tau,pd_error_emp_tau,pd_mc_spec_tau,pd_spectral_spec_tau,pd_error_spec_tau
star,15,0.25,3.0,0,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,7.2105382257676265,7.06566112011741,-0.020092412121536635,0.01,0.009169310577238687,0.01000000000724871,0.9678,0.9689254886467444,-0.0011254886467444436,0.9748,0.9753260944617524,-0.0005260944617524466
star,15,0.25,3.0,1,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,7.1304638542845735,7.06566112011741,-0.009088151274790476,0.01,0.009619300602542624,0.01000000000724871,0.974,0.9726022766926735,0.0013977233073264594,0.9769,0.9753260944617524,0.0015739055382475442
star,15,0.25,3.0,2,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,7.345064314018166,7.06566112011741,-0.03803958440057645,0.01,0.008461280112903036,0.01000000000724871,0.9575,0.9619250157836202,-0.004425015783620201,0.9719,0.9753260944617524,-0.0034260944617524602
star,15,0.25,3.0,3,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,7.11676532439192,7.06566112011741,-0.007180819086355964,0.01,0.009698516026724335,0.01000000000724871,0.9734,0.9731964183537402,0.00020358164625988717,0.9756,0.9753260944617524,0.00027390553824757635
star,15,0.25,3.0,4,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,7.434288131639135,7.06566112011741,-0.0495847087164819,0.01,0.008022786582106978,0.01000000000724871,0.9527,0.9566775022971752,-0.003977502297175195,0.9714,0.9753260944617524,-0.003926094461752405
star,15,0.35,1.0,0,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,13.726715985355739,13.848693640674998,0.008886149859106185,0.01,0.010380168450428717,0.010000000007694854,0.0516,0.053329873650657784,-0.0017298736506577844,0.0509,0.05245814144797345,-0.001558141447973449
star,15,0.35,1.0,1,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,14.234232147501977,13.848693640674998,-0.027085304133854435,0.01,0.008889636582833371,0.010000000007694854,0.0503,0.04983512775497719,0.0004648722450228057,0.053,0.05245814144797345,0.0005418585520265487
star,15,0.35,1.0,2,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,13.132299088015218,13.848693640674998,0.05455210453694094,0.01,0.012456506942291445,0.010000000007694854,0.0572,0.05789899704922766,-0.0006989970492276565,0.0517,0.05245814144797345,-0.0007581414479734469
star,15,0.35,1.0,3,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,13.424137409397888,13.848693640674998,0.03162633235412873,0.01,0.011388525650445014,0.010000000007694854,0.0555,0.05558632759281698,-8.632759281698016e-05,0.0522,0.05245814144797345,-0.00025814144797344646
star,15,0.35,1.0,4,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,13.854888801924895,13.848693640674998,-0.00044714622675544183,0.01,0.009981104473893498,0.010000000007694854,0.0486,0.052414423505657705,-0.0038144235056577075,0.0487,0.05245814144797345,-0.0037581414479734496
star,15,0.35,1.5,0,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,13.564967561250624,13.848693640674998,0.02091608978372051,0.01,0.010907244719982001,0.010000000007694854,0.0854,0.0888468931865889,-0.0034468931865888897,0.0828,0.08654330953449185,-0.0037433095344918538
star,15,0.35,1.5,1,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,13.956274304889412,13.848693640674998,-0.007708408552612363,0.01,0.009676582951737844,0.010000000007694854,0.0873,0.08571332729850051,0.0015866727014994947,0.0885,0.08654330953449185,0.001956690465508143
star,15,0.35,1.5,2,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,14.09437905402884,13.848693640674998,-0.017431446423573606,0.01,0.009277032234081606,0.010000000007694854,0.0855,0.08468084522496837,0.0008191547750316386,0.0876,0.08654330953449185,0.001056690465508145
star,15,0.35,1.5,3,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,14.011297519803152,13.848693640674998,-0.011605197798300593,0.01,0.00951531830109359,0.010000000007694854,0.0872,0.08529760573900885,0.001902394260991147,0.0884,0.08654330953449185,0.001856690465508154
star,15,0.35,1.5,4,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,13.630512897650487,13.848693640674998,0.016006788934708367,0.01,0.010690422862888627,0.010000000007694854,0.0899,0.08829941034737887,0.0016005896526211233,0.0875,0.08654330953449185,0.0009566904655081421
star,15,0.35,2.0,0,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,14.125293880455146,13.848693640674998,-0.019581910445266807,0.01,0.009189932665427447,0.010000000007694854,0.1048,0.10899117308099561,-0.0041911730809956055,0.1088,0.11251873597487679,-0.003718735974876791
star,15,0.35,2.0,1,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,13.408980635537645,13.848693640674998,0.03279242599336652,0.01,0.011441600154242282,0.010000000007694854,0.1174,0.1187762280072449,-0.0013762280072448924,0.1119,0.11251873597487679,-0.0006187359748767857
