graph_type,num_sensors,noise,amplitude,num_edges,mean_degree,degree_std,degree_cv,min_degree,max_degree,trace_L,trace_L2,lambda_2,lambda_max,tau,pfa,observed_pd,gesnr_mean,predicted_pd_mean,mean_local_gesnr,median_local_gesnr,predicted_pd_local,residual_mean,residual_local,star_center_observed_pd,star_center_predicted_pd,star_leaf_observed_pd,star_leaf_predicted_pd,repetition
star,15,0.15,1.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.39997234320818,0.012333333333333333,0.97225,11.645466091876907,0.9722295085819187,11.429193150170624,6.2386425492197715,0.8841497836624499,2.049141808124766e-05,0.08810021633755005,1.0,0.9998359792116535,0.9703525641025641,0.8762396164454104,11
star,15,0.15,1.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5768965757008373,0.009,0.94825,11.645466091876907,0.9722295085819187,11.652224621305232,6.2386425492197715,0.884489673660057,-0.023979508581918663,0.063760326339943,1.0,0.9998359792116536,0.9445486204125368,0.8762396164454104,12
star,15,0.15,1.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.6224890954593825,0.011,0.9375,11.645466091876907,0.9722295085819187,11.956358445579692,6.2386425492197715,0.8849531600204305,-0.0347295085819187,0.05254683997956955,1.0,0.9998359792116538,0.9327595481441635,0.8762396164454105,13
star,15,0.15,1.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.487273597278376,0.012666666666666666,0.95775,11.645466091876907,0.9722295085819187,11.79415373929998,6.2386425492197715,0.8847059672948979,-0.01447950858191871,0.07304403270510207,1.0,0.9998359792116539,0.9546430488459474,0.8762396164454104,14
star,15,0.15,1.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.7242319326170743,0.007666666666666666,0.9165,11.645466091876907,0.9722295085819187,11.93608285729473,6.2386425492197715,0.8849222609297389,-0.05572950858191872,0.03157773907026107,1.0,0.9998359792116539,0.9101909115353589,0.8762396164454105,15
star,15,0.15,1.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.621319099500571,0.005333333333333333,0.93075,11.645466091876907,0.9722295085819187,11.307539620460837,6.2386425492197715,0.8839643891183007,-0.041479508581918734,0.0467856108816993,1.0,0.9998359792116537,0.9261333333333334,0.8762396164454104,16
star,15,0.15,1.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.3546560005927057,0.007666666666666666,0.98,11.645466091876907,0.9722295085819187,11.753602562730052,6.2386425492197715,0.884644169113515,0.007770491418081282,0.09535583088648503,1.0,0.9998359792116538,0.9785407725321889,0.8762396164454104,17
star,15,0.15,1.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.47610556034365,0.01,0.961,11.645466091876907,0.9722295085819187,11.875256092439837,6.2386425492197715,0.8848295636576643,-0.011229508581918735,0.07617043634233567,1.0,0.9998359792116537,0.9580870499731328,0.8762396164454105,18
star,15,0.15,1.75,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.301897604057324,0.013666666666666667,0.98675,11.645466091876907,0.9722295085819187,11.753602562730052,6.2386425492197715,0.884644169113515,0.014520491418081316,0.10210583088648506,1.0,0.9998359792116538,0.9857832618025751,0.8762396164454104,19
star,15,0.15,2.5,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.6559594715646297,0.005333333333333333,1.0,23.766257330361032,0.9954240491140938,23.573156489551856,12.731923569836269,0.9792283358095447,0.0045759508859062326,0.020771664190455286,1.0,0.999973599197561,1.0,0.9777742804302885,0
star,15,0.15,2.5,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.3679473189747653,0.010333333333333333,1.0,23.766257330361032,0.9954240491140938,23.614535241153828,12.731923569836269,0.9792338856392366,0.0045759508859062326,0.020766114360763366,1.0,0.999973599197561,1.0,0.9777742804302884,1
star,15,0.15,2.5,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.561457788873396,0.009666666666666667,1.0,23.766257330361032,0.9954240491140938,22.8697177123184,12.731923569836269,0.9791339887047839,0.0045759508859062326,0.020866011295216147,1.0,0.999973599197561,1.0,0.9777742804302884,2
star,15,0.15,2.5,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.56851792211135,0.011333333333333334,1.0,23.766257330361032,0.9954240491140938,23.36626273154202,12.731923569836269,0.9792005866610857,0.0045759508859062326,0.02079941333891433,1.0,0.9999735991975609,1.0,0.9777742804302885,3
star,15,0.15,2.5,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4298060252068536,0.012333333333333333,1.0,23.766257330361032,0.9954240491140938,23.73867149595972,12.731923569836269,0.9792505351283118,0.0045759508859062326,0.02074946487168816,1.0,0.999973599197561,1.0,0.9777742804302884,4
star,15,0.15,2.5,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.727110493985923,0.007333333333333333,1.0,23.766257330361032,0.9954240491140938,24.40073152159121,12.731923569836269,0.979339332403381,0.0045759508859062326,0.020660667596618998,1.0,0.9999735991975607,1.0,0.9777742804302885,5
star,15,0.15,2.5,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.615246026473722,0.007,1.0,23.766257330361032,0.9954240491140938,23.73867149595973,12.731923569836269,0.979250535128312,0.0045759508859062326,0.02074946487168805,1.0,0.999973599197561,1.0,0.9777742804302884,6
star,15,0.15,2.5,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.528629789647792,0.007333333333333333,1.0,23.766257330361032,0.9954240491140938,23.614535241153824,12.731923569836269,0.9792338856392365,0.0045759508859062326,0.020766114360763477,1.0,0.999973599197561,1.0,0.9777742804302884,7
star,15,0.15,2.5,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4647533082568978,0.014333333333333333,1.0,23.766257330361032,0.9954240491140938,23.945565253969566,12.731923569836269,0.9792782842767711,0.0045759508859062326,0.020721715723228895,1.0,0.999973599197561,1.0,0.9777742804302885,8
