noise,fixed_tau,empirical_tau,gaussian_tau,fixed_pfa,empirical_pfa,gaussian_pfa,fixed_pd,empirical_pd,gaussian_pd,repetition
0.15,0.88080689542505,1.941259346983836,1.722545621385926,0.464,0.009,0.025666666666666667,1.0,1.0,1.0,28
0.15,0.88080689542505,1.9429566821906106,1.7230095622873858,0.4553333333333333,0.008666666666666666,0.022333333333333334,1.0,1.0,1.0,29
0.2,0.88080689542505,3.469322617704552,3.0674454778889935,0.9036666666666666,0.006333333333333333,0.020666666666666667,1.0,0.9716666666666667,0.9896666666666667,0
0.2,0.88080689542505,3.4203777252612726,3.0260669897376253,0.904,0.012333333333333333,0.027,1.0,0.9713333333333334,0.987,1
0.2,0.88080689542505,3.389761504263531,3.026878679535811,0.9056666666666666,0.009666666666666667,0.024666666666666667,1.0,0.976,0.9906666666666667,2
0.2,0.88080689542505,3.4027164492702595,3.083680651418924,0.9036666666666666,0.01,0.02033333333333333,1.0,0.9713333333333334,0.985,3
0.2,0.88080689542505,3.5394082625188172,3.0820959250492583,0.8966666666666666,0.007666666666666666,0.024333333333333332,1.0,0.9676666666666667,0.9893333333333333,4
0.2,0.88080689542505,3.4722531979448155,3.055455642867205,0.9043333333333333,0.012666666666666666,0.031,1.0,0.968,0.9876666666666667,5
0.2,0.88080689542505,3.352567634161474,3.013024254477468,0.9043333333333333,0.008333333333333333,0.025666666666666667,1.0,0.9713333333333334,0.984,6
0.2,0.88080689542505,3.43198262644384,3.0441431232039875,0.8973333333333333,0.012,0.03166666666666667,1.0,0.973,0.988,7
0.2,0.88080689542505,3.533630024073282,3.1054879902068535,0.9053333333333333,0.007333333333333333,0.018666666666666668,1.0,0.9593333333333334,0.9826666666666667,8
0.2,0.88080689542505,3.3441984126525472,3.005700206440699,0.906,0.012,0.023333333333333334,1.0,0.9773333333333334,0.9906666666666667,9
0.2,0.88080689542505,3.5275626005171623,3.0680879361894418,0.907,0.006666666666666667,0.023,1.0,0.963,0.9876666666666667,10
0.2,0.88080689542505,3.2720856641729825,2.995897954515022,0.9043333333333333,0.017333333333333333,0.03,1.0,0.977,0.988,11
0.2,0.88080689542505,3.480395095740858,3.0765625471764038,0.888,0.007333333333333333,0.020666666666666667,1.0,0.9656666666666667,0.9886666666666667,12
0.2,0.88080689542505,3.559722737622986,3.0939402003503,0.901,0.007666666666666666,0.02266666666666667,1.0,0.9663333333333334,0.9863333333333333,13
0.2,0.88080689542505,3.4321288601563236,3.0664687488431457,0.902,0.011666666666666667,0.024,1.0,0.9666666666666667,0.9853333333333333,14
0.2,0.88080689542505,3.421195558646196,3.0726025737836835,0.898,0.01,0.024666666666666667,1.0,0.97,0.9866666666666667,15
0.2,0.88080689542505,3.3941322844308957,3.0099530313499656,0.9083333333333333,0.009666666666666667,0.026,1.0,0.975,0.987,16
0.2,0.88080689542505,3.359410705344235,3.0774099710046867,0.9033333333333333,0.010666666666666666,0.022333333333333334,1.0,0.978,0.9883333333333333,17
0.2,0.88080689542505,3.511611366324101,3.0653044700094134,0.9003333333333333,0.008666666666666666,0.021,1.0,0.9613333333333334,0.9876666666666667,18
0.2,0.88080689542505,3.3228751856598393,3.022464546417778,0.8956666666666667,0.012,0.02266666666666667,1.0,0.9736666666666667,0.9883333333333333,19
0.2,0.88080689542505,3.411464555480682,3.0126886727468367,0.916,0.010666666666666666,0.028333333333333332,1.0,0.977,0.9933333333333333,20
0.2,0.88080689542505,3.5148380858138926,3.0925626620091418,0.908,0.006333333333333333,0.019333333333333334,1.0,0.9676666666666667,0.986,21
0.2,0.88080689542505,3.3348513178788326,3.013760787577072,0.897,0.012666666666666666,0.027,1.0,0.9763333333333334,0.9906666666666667,22
0.2,0.88080689542505,3.409970606626752,3.0594835962879396,0.8986666666666666,0.012333333333333333,0.028333333333333332,1.0,0.971,0.9853333333333333,23
0.2,0.88080689542505,3.407786051723414,3.0381654326053518,0.8973333333333333,0.006666666666666667,0.02266666666666667,1.0,0.972,0.9903333333333333,24
0.2,0.88080689542505,3.4208584892178897,3.020495819444738,0.898,0.008,0.020666666666666667,1.0,0.9773333333333334,0.99,25
0.2,0.88080689542505,3.506991297444039,3.1440112861426703,0.905,0.012,0.019666666666666666,1.0,0.96,0.9826666666666667,26
0.2,0.88080689542505,3.3890137161833387,3.036768211258704,0.905,0.01,0.02666666666666667,1.0,0.9713333333333334,0.987,27
