graph_type,weight_mode,n,noise_model,sigma,amplitude,repetition,mean_degree,degree_cv,trace_L,trace_L2,lambda2_L,lambda_max_L,mean_variance,variance_cv,mean_abs_correlation,sigma_condition_number,theoretical_mean_q,spectral_mean_q,mean_q_relative_difference,theoretical_var_q,spectral_var_q,var_q_relative_difference,tau_empirical,tau_spectral,tau_relative_error,pfa_mc_emp_tau,pfa_mc_spec_tau,pfa_theory_emp_tau,pfa_theory_spec_tau,pd_mc_emp_tau,pd_theory_emp_tau,pd_error_emp_tau,pd_mc_spec_tau,pd_theory_spec_tau,pd_error_spec_tau,max_abs_constant_shift,mean_abs_constant_shift,mean_max_noncentrality
star,unweighted,15,iid,0.3,1.75,0,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.09000000000000001,1.541976423090495e-16,0.0,1.0,2.5199999999999996,2.5199999999999996,0.0,3.8556,3.8556000000000004,1.1518031171544314e-16,9.977997111344713,10.174550969491714,0.019698728708141627,0.0118,0.0106,0.010853256014843604,0.010000000006320953,0.124,0.11936235100872046,0.004637648991279539,0.1212,0.11542896661946118,0.0057710333805388175,0.0,0.0,18.31348071298415
star,unweighted,15,iid,0.3,3.0,0,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.09000000000000001,1.541976423090495e-16,0.0,1.0,2.5199999999999996,2.5199999999999996,0.0,3.8556,3.8556000000000004,1.1518031171544314e-16,9.977997111344713,10.174550969491714,0.019698728708141627,0.0118,0.0106,0.010853256014843604,0.010000000006320953,0.6856,0.6786214964841822,0.006978503515817747,0.6566,0.649026662393124,0.007573337606875952,0.0,0.0,53.8192086259126
star,unweighted,15,iid,0.3,1.0,1,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.09000000000000001,1.541976423090495e-16,0.0,1.0,2.5199999999999996,2.5199999999999996,0.0,3.8556,3.8556000000000004,1.1518031171544314e-16,10.307731349377807,10.174550969491714,-0.01292043567803429,0.0102,0.0112,0.009461220745360321,0.010000000006320953,0.0676,0.06464790285831196,0.002952097141688037,0.069,0.06593877576560121,0.0030612242343987933,0.0,0.0,5.979912069545845
star,unweighted,15,iid,0.3,1.75,1,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.09000000000000001,1.541976423090495e-16,0.0,1.0,2.5199999999999996,2.5199999999999996,0.0,3.8556,3.8556000000000004,1.1518031171544314e-16,10.307731349377807,10.174550969491714,-0.01292043567803429,0.0102,0.0112,0.009461220745360321,0.010000000006320953,0.1184,0.11294094690503012,0.0054590530949698846,0.1212,0.11542896661946118,0.0057710333805388175,0.0,0.0,18.31348071298415
star,unweighted,15,iid,0.3,3.0,1,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.09000000000000001,1.541976423090495e-16,0.0,1.0,2.5199999999999996,2.5199999999999996,0.0,3.8556,3.8556000000000004,1.1518031171544314e-16,10.307731349377807,10.174550969491714,-0.01292043567803429,0.0102,0.0112,0.009461220745360321,0.010000000006320953,0.6246,0.6289183978081262,-0.004318397808126151,0.6464,0.649026662393124,-0.002626662393124035,0.0,0.0,53.8192086259126
star,unweighted,15,iid,0.3,1.0,2,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.09000000000000001,1.541976423090495e-16,0.0,1.0,2.5199999999999996,2.5199999999999996,0.0,3.8556,3.8556000000000004,1.1518031171544314e-16,10.12050478980335,10.174550969491714,0.00534026521511221,0.0098,0.0096,0.010227524697517698,0.010000000006320953,0.0646,0.06647618113720624,-0.001876181137206237,0.0636,0.06593877576560121,-0.0023387757656012087,0.0,0.0,5.979912069545845
star,unweighted,15,iid,0.3,1.75,2,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.09000000000000001,1.541976423090495e-16,0.0,1.0,2.5199999999999996,2.5199999999999996,0.0,3.8556,3.8556000000000004,1.1518031171544314e-16,10.12050478980335,10.174550969491714,0.00534026521511221,0.0098,0.0096,0.010227524697517698,0.010000000006320953,0.1124,0.1164785454866218,-0.004078545486621801,0.1112,0.11542896661946118,-0.004228966619461191,0.0,0.0,18.31348071298415
star,unweighted,15,iid,0.3,3.0,2,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.09000000000000001,1.541976423090495e-16,0.0,1.0,2.5199999999999996,2.5199999999999996,0.0,3.8556,3.8556000000000004,1.1518031171544314e-16,10.12050478980335,10.174550969491714,0.00534026521511221,0.0098,0.0096,0.010227524697517698,0.010000000006320953,0.655,0.6571818281209278,-0.00218182812092782,0.6478,0.649026662393124,-0.0012266623931239673,0.0,0.0,53.8192086259126
star,unweighted,15,heteroscedastic,0.15,1.0,0,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.02250000000000001,0.4681936683955388,0.0,5.444444444444444,0.5015670684790974,0.5015670684790973,-2.213508610108091e-16,0.09703577056868282,0.09703577056868282,0.0,1.629642576020048,1.6589276736063385,0.017970258029101925,0.0122,0.0112,0.010858552114114683,0.010000000055310876,0.3648,0.36844745781449373,-0.0036474578144937153,0.3462,0.3488895535061736,-0.002689553506173614,0.0,0.0,35.51123740069972
star,unweighted,15,heteroscedastic,0.15,1.75,0,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.02250000000000001,0.4681936683955388,0.0,5.444444444444444,0.5015670684790974,0.5015670684790973,-2.213508610108091e-16,0.09703577056868282,0.09703577056868282,0.0,1.629642576020048,1.6589276736063385,0.017970258029101925,0.0122,0.0112,0.010858552114114683,0.010000000055310876,0.9992,0.9995309571445123,-0.00033095714451236713,0.9992,0.9994252081133086,-0.000225208113308617,0.0,0.0,108.7531645396429
