graph_type,weight_mode,n,noise_model,sigma,amplitude,tau_empirical_mean,tau_spectral_mean,tau_relative_error_mean,pfa_mc_emp_mean,pfa_mc_spec_mean,pfa_theory_emp_mean,pfa_theory_spec_mean,pd_mc_emp_mean,pd_theory_emp_mean,pd_mc_spec_mean,pd_theory_spec_mean,variance_cv_mean,mean_abs_correlation_mean,sigma_condition_number_mean,max_abs_constant_shift
barabasi_albert,unweighted,60,iid,0.15,1.0,12.777520139366834,12.966381269271928,0.014873756356456635,0.012333333333333333,0.009333333333333334,0.011814558561930033,0.010000000042244698,0.4365333333333334,0.4295819258392753,0.41640000000000005,0.40962176543617534,1.5419764230904954e-16,0.0,1.0,0.0
barabasi_albert,unweighted,60,iid,0.15,1.75,12.777520139366834,12.966381269271928,0.014873756356456635,0.012333333333333333,0.009333333333333334,0.011814558561930033,0.010000000042244698,0.9784,0.9780851720579377,0.9748000000000001,0.9746097214170821,1.5419764230904954e-16,0.0,1.0,0.0
barabasi_albert,unweighted,60,iid,0.15,3.0,12.777520139366834,12.966381269271928,0.014873756356456635,0.012333333333333333,0.009333333333333334,0.011814558561930033,0.010000000042244698,0.9998666666666667,0.9998643098279972,0.9998666666666667,0.9998153366900336,1.5419764230904954e-16,0.0,1.0,0.0
barabasi_albert,unweighted,60,iid,0.3,1.0,52.16794562636582,51.67268948708108,-0.009439913083723868,0.011000000000000001,0.012066666666666665,0.009020549598116897,0.009999999938820003,0.05926666666666667,0.061839445387439775,0.06313333333333333,0.06605435196874809,1.5419764230904954e-16,0.0,1.0,0.0
barabasi_albert,unweighted,60,iid,0.3,1.75,52.16794562636582,51.67268948708108,-0.009439913083723868,0.011000000000000001,0.012066666666666665,0.009020549598116897,0.009999999938820003,0.2892,0.2838277514677852,0.3025333333333333,0.2954920374664554,1.5419764230904954e-16,0.0,1.0,0.0
barabasi_albert,unweighted,60,iid,0.3,3.0,52.16794562636582,51.67268948708108,-0.009439913083723868,0.011000000000000001,0.012066666666666665,0.009020549598116897,0.009999999938820003,0.8782666666666668,0.8725358512094615,0.8861333333333333,0.8807250669796391,1.5419764230904954e-16,0.0,1.0,0.0
barabasi_albert,weighted,15,correlated,0.15,1.0,2.6528385264502305,2.665627463707306,0.004600442996269275,0.009933333333333334,0.009666666666666665,0.010350715370670097,0.01000000003248582,0.9630666666666666,0.9616441475071055,0.9620666666666667,0.9603130042074272,0.03873587336671169,0.1201738531361911,5.546747322826957,0.0
barabasi_albert,weighted,15,correlated,0.15,1.75,2.6528385264502305,2.665627463707306,0.004600442996269275,0.009933333333333334,0.009666666666666665,0.010350715370670097,0.01000000003248582,1.0,0.9999999964407175,1.0,0.999999995772078,0.03873587336671169,0.1201738531361911,5.546747322826957,0.0
barabasi_albert,weighted,15,correlated,0.15,3.0,2.6528385264502305,2.665627463707306,0.004600442996269275,0.009933333333333334,0.009666666666666665,0.010350715370670097,0.01000000003248582,1.0,0.9999999999803338,1.0,0.999999999981001,0.03873587336671169,0.1201738531361911,5.546747322826957,0.0
barabasi_albert,weighted,15,correlated,0.3,1.0,10.812926304353539,10.863917437863401,0.005308401820723973,0.0106,0.0098,0.010403912867369433,0.00999999999329291,0.30360000000000004,0.30309018961367595,0.2994,0.2984281087865732,0.03796160435735265,0.12208100013048252,5.631203284264821,0.0
barabasi_albert,weighted,15,correlated,0.3,1.75,10.812926304353539,10.863917437863401,0.005308401820723973,0.0106,0.0098,0.010403912867369433,0.00999999999329291,0.8952,0.8949032467943839,0.8917999999999999,0.8927386913827244,0.03796160435735265,0.12208100013048252,5.631203284264821,0.0
