graph_type,num_sensors,noise,amplitude,num_edges_mean,num_edges_ci95,mean_degree_mean,mean_degree_ci95,mean_anomaly_degree_mean,mean_anomaly_degree_ci95,trace_L_mean,trace_L_ci95,trace_L2_mean,trace_L2_ci95,lambda_2_mean,lambda_2_ci95,lambda_max_mean,lambda_max_ci95,tau_mean,tau_ci95,pfa_mean,pfa_ci95,pd_mean,pd_ci95
grid,40,0.1,0.5,67.0,0.0,3.35,0.0,3.3489750000000003,0.008404599552124957,134.0,0.0,602.0,0.0,0.1974165699222627,1.2480428867764376e-17,7.512389811858588,3.9937372376846002e-16,2.2931926820609347,0.020429438309597522,0.010425,0.0014348058918782084,0.38315000000000005,0.014770853455013142
grid,40,0.1,1.0,67.0,0.0,3.35,0.0,3.3571750000000002,0.007101584296923873,134.0,0.0,602.0,0.0,0.1974165699222627,1.2480428867764376e-17,7.512389811858588,3.9937372376846002e-16,2.2898690907276795,0.017368350463107387,0.010575000000000001,0.0013643801561611468,0.9963250000000002,0.0005831444255522249
grid,40,0.1,1.5,67.0,0.0,3.35,0.0,3.3514749999999993,0.006986482659204725,134.0,0.0,602.0,0.0,0.1974165699222627,1.2480428867764376e-17,7.512389811858588,3.9937372376846002e-16,2.300274177575461,0.018907914373982423,0.010750000000000001,0.0012221598655012794,1.0,0.0
grid,40,0.1,2.0,67.0,0.0,3.35,0.0,3.3495000000000004,0.006391191471161926,134.0,0.0,602.0,0.0,0.1974165699222627,1.2480428867764376e-17,7.512389811858588,3.9937372376846002e-16,2.289105641813255,0.014465549552185087,0.010325,0.001355086538312513,1.0,0.0
grid,40,0.1,3.0,67.0,0.0,3.35,0.0,3.348324999999999,0.010219704628031595,134.0,0.0,602.0,0.0,0.1974165699222627,1.2480428867764376e-17,7.512389811858588,3.9937372376846002e-16,2.300181364282144,0.01777831434929554,0.009500000000000003,0.0011768593351530344,1.0,0.0
grid,40,0.2,0.5,67.0,0.0,3.35,0.0,3.34935,0.008800808946072138,134.0,0.0,602.0,0.0,0.1974165699222627,1.2480428867764376e-17,7.512389811858588,3.9937372376846002e-16,9.217500867865766,0.08048066582622163,0.010125,0.000979677578540377,0.0451,0.003918452326056672
grid,40,0.2,1.0,67.0,0.0,3.35,0.0,3.35085,0.005531896809936837,134.0,0.0,602.0,0.0,0.1974165699222627,1.2480428867764376e-17,7.512389811858588,3.9937372376846002e-16,9.172846148271379,0.10003204037105345,0.009925,0.0011881336758037572,0.38407500000000006,0.01778088904739551
grid,40,0.2,1.5,67.0,0.0,3.35,0.0,3.3440999999999996,0.004376691757119978,134.0,0.0,602.0,0.0,0.1974165699222627,1.2480428867764376e-17,7.512389811858588,3.9937372376846002e-16,9.160413723259268,0.0825323646706661,0.010700000000000003,0.0013251473800854638,0.892775,0.00669799899027196
grid,40,0.2,2.0,67.0,0.0,3.35,0.0,3.3507000000000007,0.006314169095646797,134.0,0.0,602.0,0.0,0.1974165699222627,1.2480428867764376e-17,7.512389811858588,3.9937372376846002e-16,9.145080508127217,0.06785575036811095,0.0103,0.0009601999791710059,0.9961249999999999,0.0005547135344149824
grid,40,0.2,3.0,67.0,0.0,3.35,0.0,3.3493000000000004,0.006198227318736952,134.0,0.0,602.0,0.0,0.1974165699222627,1.2480428867764376e-17,7.512389811858588,3.9937372376846002e-16,9.118764650350702,0.07146247400927862,0.010950000000000001,0.0009667579025305473,1.0,0.0
grid,40,0.3,0.5,67.0,0.0,3.35,0.0,3.3518,0.00822339901551792,134.0,0.0,602.0,0.0,0.1974165699222627,1.2480428867764376e-17,7.512389811858588,3.9937372376846002e-16,20.732406357854433,0.15389182781506772,0.009225000000000002,0.0012487033063816324,0.020175000000000005,0.0017360913600747846
grid,40,0.3,1.0,67.0,0.0,3.35,0.0,3.355625,0.005812506276170925,134.0,0.0,602.0,0.0,0.1974165699222627,1.2480428867764376e-17,7.512389811858588,3.9937372376846002e-16,20.559741883379804,0.16155275442007802,0.011325000000000002,0.0011987223681025868,0.1048,0.006055917575744448
grid,40,0.3,1.5,67.0,0.0,3.35,0.0,3.3486499999999992,0.008283631939268146,134.0,0.0,602.0,0.0,0.1974165699222627,1.2480428867764376e-17,7.512389811858588,3.9937372376846002e-16,20.5199518097232,0.1693949383016395,0.010450000000000001,0.0018194359449826027,0.391375,0.014179442188939372
grid,40,0.3,2.0,67.0,0.0,3.35,0.0,3.3484749999999996,0.00644807037231419,134.0,0.0,602.0,0.0,0.1974165699222627,1.2480428867764376e-17,7.512389811858588,3.9937372376846002e-16,20.66041981287805,0.15264624050023645,0.00975,0.0014281408599257544,0.7702,0.009820455493777419
grid,40,0.3,3.0,67.0,0.0,3.35,0.0,3.3534999999999995,0.006721926259010824,134.0,0.0,602.0,0.0,0.1974165699222627,1.2480428867764376e-17,7.512389811858588,3.9937372376846002e-16,20.626788514138575,0.18773064116986146,0.011400000000000002,0.0014770323019665588,0.9960999999999999,0.0006616193849384342
grid,80,0.1,0.5,142.0,0.0,3.5499999999999994,1.9968686188423001e-16,3.5518500000000004,0.004246263273688255,284.0,0.0,1322.0,0.0,0.1200140901580395,0.0,7.758055654248767,7.9874744753692005e-16,4.208315946839903,0.028485897514845895,0.009800000000000003,0.0014011637268619556,0.22885,0.011275739499614109
