graph_type,num_sensors,noise,amplitude,num_edges,mean_degree,mean_anomaly_degree,trace_L,trace_L2,lambda_2,lambda_max,tau,pfa,pd,repetition
path,10,0.2,1.0,9,1.8,1.807,18.0,52.0,0.09788696740969276,3.902113032590307,2.0155079146474773,0.0085,0.6395,0
path,10,0.2,1.0,9,1.8,1.7935,18.0,52.0,0.09788696740969276,3.902113032590307,1.9678693246399144,0.0125,0.6595,1
path,10,0.2,1.0,9,1.8,1.7965,18.0,52.0,0.09788696740969276,3.902113032590307,2.0052979606225976,0.0105,0.637,2
path,10,0.2,1.0,9,1.8,1.789,18.0,52.0,0.09788696740969276,3.902113032590307,2.025205486373237,0.013,0.6085,3
path,10,0.2,1.0,9,1.8,1.805,18.0,52.0,0.09788696740969276,3.902113032590307,1.990781007712364,0.011,0.6525,4
path,10,0.2,1.0,9,1.8,1.7915,18.0,52.0,0.09788696740969276,3.902113032590307,1.9500846856350338,0.0095,0.657,5
path,10,0.2,1.0,9,1.8,1.7695,18.0,52.0,0.09788696740969276,3.902113032590307,1.977295197117927,0.0085,0.6375,6
path,10,0.2,1.0,9,1.8,1.805,18.0,52.0,0.09788696740969276,3.902113032590307,1.9906167163844164,0.014,0.6445,7
path,10,0.2,1.0,9,1.8,1.8095,18.0,52.0,0.09788696740969276,3.902113032590307,2.00524702245493,0.0115,0.661,8
path,10,0.2,1.0,9,1.8,1.807,18.0,52.0,0.09788696740969276,3.902113032590307,2.231724216328272,0.0035,0.56,9
path,10,0.2,1.0,9,1.8,1.806,18.0,52.0,0.09788696740969276,3.902113032590307,1.9669718622296117,0.0105,0.6655,10
path,10,0.2,1.0,9,1.8,1.792,18.0,52.0,0.09788696740969276,3.902113032590307,2.0163330095465066,0.008,0.6205,11
path,10,0.2,1.0,9,1.8,1.8015,18.0,52.0,0.09788696740969276,3.902113032590307,1.9900964353349448,0.0115,0.6725,12
path,10,0.2,1.0,9,1.8,1.8005,18.0,52.0,0.09788696740969276,3.902113032590307,1.976124061579895,0.014,0.6715,13
path,10,0.2,1.0,9,1.8,1.7935,18.0,52.0,0.09788696740969276,3.902113032590307,2.090673704239297,0.0065,0.5965,14
path,10,0.2,1.0,9,1.8,1.8075,18.0,52.0,0.09788696740969276,3.902113032590307,2.047881812868627,0.009,0.614,15
path,10,0.2,1.0,9,1.8,1.7985,18.0,52.0,0.09788696740969276,3.902113032590307,2.0725901074042508,0.0065,0.6155,16
path,10,0.2,1.0,9,1.8,1.8,18.0,52.0,0.09788696740969276,3.902113032590307,2.1121232484869807,0.006,0.6075,17
path,10,0.2,1.0,9,1.8,1.8025,18.0,52.0,0.09788696740969276,3.902113032590307,1.9998480457499543,0.012,0.657,18
path,10,0.2,1.0,9,1.8,1.8045,18.0,52.0,0.09788696740969276,3.902113032590307,1.9111066851793472,0.015,0.6785,19
path,10,0.2,1.5,9,1.8,1.798,18.0,52.0,0.09788696740969276,3.902113032590307,1.9330296170800132,0.013,0.9735,0
path,10,0.2,1.5,9,1.8,1.815,18.0,52.0,0.09788696740969276,3.902113032590307,2.0731764216373647,0.005,0.9685,1
path,10,0.2,1.5,9,1.8,1.7825,18.0,52.0,0.09788696740969276,3.902113032590307,1.9848177042003305,0.0095,0.9595,2
