graph_type,num_sensors,noise,amplitude,num_edges_mean,num_edges_ci95,mean_degree_mean,mean_degree_ci95,mean_anomaly_degree_mean,mean_anomaly_degree_ci95,trace_L_mean,trace_L_ci95,trace_L2_mean,trace_L2_ci95,lambda_2_mean,lambda_2_ci95,lambda_max_mean,lambda_max_ci95,tau_mean,tau_ci95,pfa_mean,pfa_ci95,pd_mean,pd_ci95,gesnr,log_gesnr,pd_predicted,residual,abs_residual
grid,80,0.2,3.0,142.0,0.0,3.5499999999999994,1.9968686188423e-16,3.548800000000001,0.0050480640166096,284.0,0.0,1322.0,0.0,0.1200140901580395,0.0,7.758055654248767,7.9874744753692e-16,16.699753368019323,0.1022428122574617,0.0104,0.0017611321717337,1.0,0.0,15.52863625770807,2.7426858198925426,0.9865140730071897,0.01348592699281026,0.01348592699281026
grid,80,0.3,0.5,142.0,0.0,3.5499999999999994,1.9968686188423e-16,3.5507499999999994,0.0058956677225516,284.0,0.0,1322.0,0.0,0.1200140901580395,0.0,7.758055654248767,7.9874744753692e-16,37.91666917127771,0.2370655425931865,0.009225,0.0013794861552881,0.015175,0.0015515942734728,0.19181690069485122,-1.6512140041747068,0.0009488557378596994,0.0142261442621403,0.0142261442621403
grid,80,0.3,1.0,142.0,0.0,3.5499999999999994,1.9968686188423e-16,3.547475,0.0062615445336888,284.0,0.0,1322.0,0.0,0.1200140901580395,0.0,7.758055654248767,7.9874744753692e-16,37.650579686471296,0.2186149716717065,0.0096,0.001125485252072,0.0626,0.004224482677765,0.7665599209096303,-0.265842409023037,0.03193289138336182,0.030667108616638183,0.030667108616638183
grid,80,0.3,1.5,142.0,0.0,3.5499999999999994,1.9968686188423e-16,3.54615,0.0049874708494069,284.0,0.0,1322.0,0.0,0.1200140901580395,0.0,7.758055654248767,7.9874744753692e-16,37.620085105081685,0.2251362095970838,0.011025,0.0013479805363267,0.23645,0.0114987521428242,1.724115615459106,0.5447142323241917,0.20816811825228365,0.028281881747716342,0.028281881747716342
grid,80,0.3,2.0,142.0,0.0,3.5499999999999994,1.9968686188423e-16,3.5499,0.0063457912450943,284.0,0.0,1322.0,0.0,0.1200140901580395,0.0,7.758055654248767,7.9874744753692e-16,37.795914846509056,0.246126582470095,0.0105,0.0013281954516917,0.5854250000000001,0.0142250699582037,3.068335718489457,1.12113530336246,0.5349647606385824,0.050460239361417636,0.050460239361417636
grid,80,0.3,3.0,142.0,0.0,3.5499999999999994,1.9968686188423e-16,3.5465999999999998,0.0061389002272394,284.0,0.0,1322.0,0.0,0.1200140901580395,0.0,7.758055654248767,7.9874744753692e-16,37.67195103789205,0.1584757819875856,0.010325,0.0009385703293615,0.982375,0.0019688451731381,6.897337610408206,1.9311354835785446,0.9015284994431975,0.08084650055680254,0.08084650055680254
path,10,0.1,0.5,9.0,0.0,1.7999999999999996,1.9968686188423e-16,1.7998749999999997,0.0039806994558613,18.0,0.0,52.0,0.0,0.0978869674096927,6.240214433882189e-18,3.9021130325903055,1.9968686188423e-16,0.5041214076565036,0.0046329443675931,0.010775,0.000802715752273,0.6380500000000001,0.0090034609602728,4.412306609147986,1.4843975933438116,0.7446586275109441,-0.10660862751094402,0.10660862751094402
path,10,0.1,1.0,9.0,0.0,1.7999999999999996,1.9968686188423e-16,1.7975249999999998,0.0038690408100036,18.0,0.0,52.0,0.0,0.0978869674096927,6.240214433882189e-18,3.9021130325903055,1.9968686188423e-16,0.5086815689158358,0.0078402723481659,0.009475,0.0014192203011364,0.999475,0.0002188461367695,17.62618279071321,2.869385455139593,0.9902141279730599,0.009260872026940148,0.009260872026940148
path,10,0.1,1.5,9.0,0.0,1.7999999999999996,1.9968686188423e-16,1.8011000000000004,0.0030872660704049,18.0,0.0,52.0,0.0,0.0978869674096927,6.240214433882189e-18,3.9021130325903055,1.9968686188423e-16,0.5062449375463546,0.0103228926888165,0.010475,0.0015106579082603,1.0,0.0,39.737786737205624,3.6823025419946087,0.9987689891647378,0.001231010835262225,0.001231010835262225
path,10,0.1,2.0,9.0,0.0,1.7999999999999996,1.9968686188423e-16,1.8009499999999998,0.0041001889301784,18.0,0.0,52.0,0.0,0.0978869674096927,6.240214433882189e-18,3.9021130325903055,1.9968686188423e-16,0.4992569750658623,0.0068646263237352,0.010525,0.0010933064047817,1.0,0.0,70.63907071542249,4.257583400991486,0.9997175873474795,0.00028241265252049175,0.00028241265252049175
