graph_type,n,noise_model,sigma,amplitude,pattern,repetition,signal_location,signal_norm,signal_graph_energy,rayleigh_quotient,lambda2,lambda_max,normalized_rayleigh,tau_spectral,pfa_mc,pfa_theory,pd_mc,pd_theory,pd_error,theoretical_mean_shift,empirical_mean_shift,mean_shift_error
star,20,iid,0.15,3.0,point,3,14,3.0,9.0,1.0,0.999999999999999,20.0,0.05,3.4028450363590803,0.0108,0.010000000001305465,1.0,0.9999999999999992,7.771561172376096e-16,9.0,8.999171910527755,-0.0008280894722449972
star,20,iid,0.15,3.0,edge_bipolar,3,0-15,2.9999999999999996,99.0,11.000000000000002,0.999999999999999,20.0,0.55,3.4028450363590803,0.0108,0.010000000001305465,1.0,0.9999999999992047,7.952527525389996e-13,99.0,98.8473297978814,-0.15267020211859972
star,20,iid,0.15,3.0,high_frequency,3,lambda_max,2.9999999999999996,180.00000000000006,20.00000000000001,0.999999999999999,20.0,1.0000000000000004,3.4028450363590803,0.0108,0.010000000001305465,1.0,1.0,0.0,180.00000000000006,179.82003959641474,-0.17996040358531218
star,20,iid,0.3,0.75,constant,0,all,0.7499999999999999,3.7238012298709096e-17,6.620091075326063e-17,0.999999999999999,20.0,3.3100455376630313e-18,13.611378010981767,0.0102,0.010000000001224474,0.0092,0.010000000001224474,-0.000800000001224474,3.7238012298709096e-17,0.006378974725464115,0.006378974725464078
star,20,iid,0.3,0.75,fiedler,0,fiedler,0.7500000000000001,0.5625000000000001,0.9999999999999998,0.999999999999999,20.0,0.04999999999999999,13.611378010981767,0.0102,0.010000000001224474,0.011,0.012054060299126368,-0.0010540602991263685,0.5625000000000001,0.5489285317678174,-0.013571468232182693
star,20,iid,0.3,0.75,cluster,0,9;0;1;2,0.75,2.25,4.0,0.999999999999999,20.0,0.2,13.611378010981767,0.0102,0.010000000001224474,0.0606,0.06549988985466593,-0.004899889854665926,2.25,2.077658874357093,-0.17234112564290704
star,20,iid,0.3,0.75,point,0,15,0.75,0.5625,1.0,0.999999999999999,20.0,0.05,13.611378010981767,0.0102,0.010000000001224474,0.0112,0.012634097089558316,-0.0014340970895583161,0.5625,0.5515857934395996,-0.01091420656040043
star,20,iid,0.3,0.75,edge_bipolar,0,0-17,0.7499999999999999,6.1875,11.000000000000002,0.999999999999999,20.0,0.55,13.611378010981767,0.0102,0.010000000001224474,0.2226,0.23089824777924228,-0.00829824777924229,6.1875,6.050160284917706,-0.1373397150822937
star,20,iid,0.3,0.75,high_frequency,0,lambda_max,0.7499999999999999,11.250000000000004,20.00000000000001,0.999999999999999,20.0,1.0000000000000004,13.611378010981767,0.0102,0.010000000001224474,0.4566,0.4680064916293989,-0.011406491629398885,11.250000000000004,11.185097827845201,-0.06490217215480243
star,20,iid,0.3,1.5,constant,0,all,1.4999999999999998,1.4895204919483638e-16,6.620091075326063e-17,0.999999999999999,20.0,3.3100455376630313e-18,13.611378010981767,0.0102,0.010000000001224474,0.01,0.010000000001224474,-1.224473647476465e-12,1.4895204919483638e-16,-0.04117668730007473,-0.04117668730007488
star,20,iid,0.3,1.5,fiedler,0,fiedler,1.5000000000000002,2.2500000000000004,0.9999999999999998,0.999999999999999,20.0,0.04999999999999999,13.611378010981767,0.0102,0.010000000001224474,0.0222,0.021272303569312867,0.000927696430687134,2.2500000000000004,2.2613249487524625,0.011324948752462038
star,20,iid,0.3,1.5,cluster,0,16;0;1;2,1.5,9.0,4.0,0.999999999999999,20.0,0.2,13.611378010981767,0.0102,0.010000000001224474,0.3492,0.356730384015372,-0.0075303840153719825,9.0,9.055989739778813,0.05598973977881272
star,20,iid,0.3,1.5,point,0,7,1.5,2.25,1.0,0.999999999999999,20.0,0.05,13.611378010981767,0.0102,0.010000000001224474,0.0226,0.024554711787545147,-0.0019547117875451485,2.25,2.2496660645034288,-0.000333935496571236
star,20,iid,0.3,1.5,edge_bipolar,0,0-3,1.4999999999999998,24.75,11.000000000000002,0.999999999999999,20.0,0.55,13.611378010981767,0.0102,0.010000000001224474,0.8714,0.87705946935379,-0.005659469353790025,24.75,24.70716010694214,-0.04283989305785951
star,20,iid,0.3,1.5,high_frequency,0,lambda_max,1.4999999999999998,45.000000000000014,20.00000000000001,0.999999999999999,20.0,1.0000000000000004,13.611378010981767,0.0102,0.010000000001224474,0.9934,0.9921448302191336,0.001255169780866372,45.000000000000014,45.083503028791185,0.08350302879117066
star,20,iid,0.3,3.0,constant,0,all,2.9999999999999996,5.958081967793455e-16,6.620091075326063e-17,0.999999999999999,20.0,3.3100455376630313e-18,13.611378010981767,0.0102,0.010000000001224474,0.01,0.010000000001224474,-1.224473647476465e-12,5.958081967793455e-16,-0.027155229623508692,-0.02715522962350929
star,20,iid,0.3,3.0,fiedler,0,fiedler,3.0000000000000004,9.000000000000002,0.9999999999999998,0.999999999999999,20.0,0.04999999999999999,13.611378010981767,0.0102,0.010000000001224474,0.2802,0.2744840601598089,0.005715939840191087,9.000000000000002,9.046535986049179,0.04653598604917697
